[PORT 5000][2025-03-26 04:10:43][INFO] System created with ID: f5ee15d0-489c-47e5-b3cd-a4515a879780
[PORT 5000][2025-03-26 04:12:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 999, Latency: 3.03ms, Throughput: 329.7 MB/s
[PORT 5000][2025-03-26 04:13:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 738, Latency: 2.99ms, Throughput: 246.82 MB/s
[PORT 5000][2025-03-26 04:13:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 225, Latency: 3.5ms, Throughput: 64.29 MB/s
[PORT 5000][2025-03-26 04:14:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 165, Latency: 2.21ms, Throughput: 74.66 MB/s
[PORT 5000][2025-03-26 04:14:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 495, Latency: 7.54ms, Throughput: 65.65 MB/s
[PORT 5000][2025-03-26 04:15:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 517, Latency: 5.27ms, Throughput: 98.1 MB/s
[PORT 5000][2025-03-26 04:15:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 250, Latency: 2.09ms, Throughput: 119.62 MB/s
[PORT 5000][2025-03-26 04:16:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 303, Latency: 6.44ms, Throughput: 47.05 MB/s
[PORT 5000][2025-03-26 04:16:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 472, Latency: 8.72ms, Throughput: 54.13 MB/s
[PORT 5000][2025-03-26 04:17:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 142, Latency: 4.02ms, Throughput: 35.32 MB/s
[PORT 5000][2025-03-26 04:17:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 719, Latency: 9.13ms, Throughput: 78.75 MB/s
